(' hours on the phone yesterday really still doesn t pick up status on us air flight ', 'negative'),
(' i missed it set up in a hotel flights delayed in sfo for hours missing all the wedding festivities of my friend ', 'negative'),
(' you re right good you caught the mechanical failure too bad there are no blankets but ok ', 'negative'),
(' we re sitting in ua getting delayed because the operations can t find captain #ridiculous ', 'negative'),
(' they did on a delta flight out of lax which is why i should be compensated for my rental car there ', 'negative'),
(' worst experience ever all the way ', 'negative'),
(' fantastic night of waiting hours for a delayed airplaneonly for you to alert us flight is cancelled flighted when it lands #whatstatus ', 'negative'),
(' calling atam to tell me my flight has been rescheduled hours late flightr than it was supposed be to seems like a bad solution', 'negative'),
(' truly the worst day of flying i have ever experienced ', 'negative'),
(' very missed daughter suppose to dpt ord @ pm dpted pmchecked week s average for ua shameful day average pm', 'negative'),
(' that all aa is for usair elite members it s one big disappointment in the way we are treated #epicfailure', 'negative'),
(' not once did #us leave #ord on time this week #shameful', 'negative'),
(' stuck in houston because you can t seem to get a plane to the destination on time in perfect flying conditions ', 'negative'),
(' you phone customer service team is bad think it is time for me to consider switching airlines ', 'negative'),
(' is freaking worthless i hate this airline', 'negative'),
(' how much longer united been on the phone for over an hour to straighten out a star alliance upgrade', 'negative'),
(' why wont you find my luggage without blaming everyone else ', 'negative'),
(' it is cool your customer told me they didn t care either it is expected', 'negative'),
(' who do i need to talk to to get a full refund on my trip your call center offers no assistance ', 'negative'),
(' just curiouswhen are you going to to finally learn ', 'negative'),
(' how comes no one has answered my calls or emails ', 'negative'),
(' understanding the situation we waited and it was opened until pm', 'negative'),
(' i think we both have the same status nothing i think there was a bug in your search system ', 'negative'),
(' made me remove pound from my checked bag otherwise they would charge me loyal flier for years time for change ', 'negative'),
(' that would be appreciated just please don t send me to the same page with long formlimited characters direct email ', 'negative'),
(' this is the biggest joke of i ve ever seen from abrand', 'negative'),
(' it would be awfully nice if you could send an alert when my flight is cancelled flighted no textno emailno love ', 'negative'),
(' being delayed hours for a one hour flight is more than frustrating i m also unable to get a decent meal at this hour never again', 'negative'),
(' agent did help me my point there s a problemi don t want it to mess up somebody else s plans can u flow this to tech team pls ', 'negative'),
(' been sitting on this plane unreal when will my day nightmare end ', 'negative'),
(' our fligth somthing to talk about this ', 'negative'),
(' a rapid trip plane ticket from idaho to california that doesn t have problems would be wonderful', 'negative'),
(' can you let us out of the gate now ua ', 'negative'),
(' thanks took care of it issue was ivr was unclear and took too long to get a call back option would love to see that fixed ', 'negative'),
(' well as of yetour checked bag has already vanished and we haven t left the airport yet ', 'negative'),
