Classification, Text
neutral, what @dhepburn said 
positive, plus you ve added commercials to the experience tacky 
neutral, i didn t today must mean i need to take another trip 
negative, it s really aggressive to blast obnoxious entertainment in your guests facesthey have little recourse 
negative, and it s a really big bad thing about it
negative, seriously would pay a flight for seats that didn t have this playing it s really the only bad thing about flying va
positive, yesnearly every time i fly vx this ear worm wont go away
neutral, really missed a prime opportunity for men without hats parodytherep 
positive, welli didn tbut now i dod 
positive, it was amazingand arrived an hour early you re too good to me 
neutral, did you know that suicide is the second leading cause of death among teens 
positive, ipretty graphics so much better than minimal iconography d
positive, this is such a great deal already thinking about mytrip to @australiai haven t even gone on mytrip yet p
positive, i m flying your #fabulous #seductive skies again u take all the #stress away from travel
positive, thanks 
negative, sfo pdx schedule is still mia 
positive, so excited for my first cross country flight lax to mco i ve heard nothing but great things about virgin america #daystogo
negative, i flew from nyc to sfo last week and couldn t fully sit in my seat due to two large gentleman on either side of me help 
positive, i ️ flying 
positive, you know what would be amazingly awesome bos fll please i want to fly with only you 
negative, why are your first fares in may over three times more than other carriers when all seats are available to select 
positive, i love this graphic
positive, i love the hipster innovation you are a feel good brand 
neutral, will you be making boslas non stop permanently anytime soon 
negative, you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet
negative, status match program i applied and it s been three weeks called and emailed with no response 
negative, what happened ur vegan food options at least say on ur site so i know i won t be able eat anything for next hrs 
neutral, do you miss me don t worry we ll be together very soon 
negative, amazing to me that we can t get any cold air from the vents #vx #noair #roasted #sfotobos
neutral, lax to ewr middle seat on a red eye such a noob maneuver #sendambien #andchexmix
negative, hi i just bked a cool birthday trip with youbut i can t add my elevate no cause i entered my middle name during flight booking problems
neutral, are the hours of operation for the club at sfo that are posted online current 
negative, helpleft expensive headphones on flight iad to lax today seata no one answering lf number at lax 
negative, awaiting my return phone calljust would prefer to use your online self service option
positive, this is great news america could start flights to hawaii by end of year
neutral, nicevibe with the moodlight from takeoff to touchdown #moodlitmondayd
positive, moodlighting is the only way to fly best experience ever cool and calming
positive, @freddieawards done and done best airline aroundhands down 
neutral, when can i book my flight to hawaii 
negative, your chat support is not working on your site
positive, view of downtown los angelesthe hollywood signand beyond that rain in the mountains 
negative, heyfirst time flyer next week excited but i m having a hard time getting my flights added to my elevate account help 
neutral, plz help me win my bid upgrade for my flight lax sea 
neutral, i have an unused ticket but moved to a new city where you don t fly how can i fly with you before it expires #travelhelp
neutral, are flights leaving dallas for seattle on time feb 
positive, i m #elevategold for a good reason you rock 
neutral, dream
positive, wow this just blew my mind
neutral, @ladygaga @carrieunderwood after last night #tribute #soundofmusic @ladygaga i think @carrieunderwood agree
neutral, @ladygaga @carrieunderwood all were entertaining
neutral, is flight on it s way was supposed to take off minutes ago website still shows on time not in flight thanks 
positive, @ladygaga @carrieunderwood julie andrews all the way though @ladygaga was very impressive no to @carrieunderwood
neutral, wish you flew out of atlanta soon 
neutral, @ladygaga @carrieunderwood julie andrews hands down 
neutral, will flights be leaving dallas for la on february
negative, hi i m so excited about your lga dal dealbut i ve been trying book since last weekthe page never loads thx 
positive, you know it need it on my spotify stat #guiltypleasures
positive, @ladygaga @carrieunderwood i m lady gaga she is amazing 
neutral, @ladygaga @carrieunderwood carrie 
neutral, new marketing song let us know what you think 
neutral, @ladygaga @carrieunderwood julie andrews first but lady gaga wow d me last night carrie meh 
negative, i called a weeks ago about adding flights from to my elevate they still haven t shown up help 
neutral, @ladygaga @carrieunderwood all are great but i have to go with #carrieunderwood
neutral, @ladygaga @carrieunderwood sorrymary martin had it first 
positive, @ladygaga @carrieunderwood love all three but you really can t beat the classics 
neutral, flight dal to dca pm tried to check in could not status please 
negative, heyyyy guyyyys been trying to get through for an hour can someone call me please
negative, hivirgin i m on hold for minutesare there any earlier flights from la to nyc tonight earlier than pm 
positive, congrats on winning the @travelzoo award for best deals from an airline us
negative, everything was fine until you lost my bag
neutral, need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online 
neutral, i emailed your customer service team let me know if you need the tracking number 
neutral, hi i just booked a flight but need to add baggagehow can i do this 
negative, your airline is awesome but your lax loft needs to step up its game for dirty tables and floors
positive, not worriedit s been a great ride in a new plane with great crew all airlines should be like this 
positive, awesome i flew yall sat morning any way we can correct my bill 
neutral, or watch some of the best student films in the country at feetfeet 
neutral, first time flying you all do you have a different rate policy for media bags thanks
negative, what is going on with customer service is there anyway to speak to a human asap thank you 
neutral, what happened to doom 
negative, why can t you supp the biz traveler like and have customer service like #neverflyvirginforbusiness
positive, i ve applied more then once to be a member of the #inflight crew team iminterested #flightattendant #dreampathg
negative, you re the best whenever i begrudgingly use any other airline i m delayed and late flight
negative, i have no interesting flying with you after this i will cancelled flight my next four flights i planned #neverflyvirginforbusiness
negative, it was a disappointing experience which will be shared with every business traveler i meet #neverflyvirgin
negative, im having trouble adding this flight my wife booked to my elevate account help
neutral, can t bring up my reservation online using flight booking problems code
neutral, random q what s the distribution of elevate avatars i bet that kitty has a disproportionate share
neutral, iflying va but life happens and i am trying tomy trip jperhi can you help va home page will not let me 
negative, why is the site down when will it be back up 
neutral, you down with rnp yeah you know me 
neutral, hii did not get points on my elevate account for my most recent flighthow do i add the flight and points to my account 
negative, i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday 
negative, just landed in laxan hour after i should of been here your no late flight bag check is not business travel friendly #nomorevirgin 
neutral, why is flight redirected 
negative, is it meor is your website down btwyour new website isn t a great user experience time for another redesign 
negative, i can t check in or add a bag your website isn t working i ve tried both desktop and mobile
